Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2018 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
TL:             	Loading TL schemes...
TL:             	Parsing TL_mtproto_v1.json...
TL:             	Parsing TL_telegram_v82.tl...
TL:             	CRC32 mismatch (402d9b47, 37982646) for ipPortSecret#37982646 ipv4:int port:int secret:bytes = IpPort;
TL:             	CRC32 mismatch (020634ce, 4679b65f) for accessPointRule#4679b65f phone_prefix_rules:string dc_id:int ips:vector<IpPort> = AccessPointRule;
TL:             	CRC32 mismatch (066d2808, 5a592a6c) for help.configSimple#5a592a6c date:int expires:int rules:vector<AccessPointRule> = help.ConfigSimple;
TL:             	CRC32 mismatch (450b7115, c88974ac) for channel#c88974ac flags:# creator:flags.0?true left:flags.2?true editor:flags.3?true broadcast:flags.5?true verified:flags.7?true megagroup:flags.8?true restricted:flags.9?true democracy:flags.10?true signatures:flags.11?true min:flags.12?true id:int access_hash:flags.13?long title:string username:flags.6?string photo:ChatPhoto date:int version:int restriction_reason:flags.9?string admin_rights:flags.14?ChannelAdminRights banned_rights:flags.15?ChannelBannedRights participants_count:flags.17?int = Chat;
TL:             	Parsing TL_secret.tl...
TL:             	Parsing TL_calls.tl...
TL:             	CRC32 mismatch (e8201c08, dbf948c1) for decryptedDataBlock#dbf948c1 random_id:long random_bytes:string flags:# voice_call_id:flags.2?int128 in_seq_no:flags.4?int out_seq_no:flags.4?int recent_received_mask:flags.5?int proto:flags.3?int extra:flags.1?string raw_data:flags.0?string = DecryptedDataBlock;
TL:             	CRC32 mismatch (d20a6f5c, cc0d0e76) for simpleDataBlock#cc0d0e76 random_id:long random_bytes:string raw_data:string = DecryptedDataBlock;
TL:             	Parsing TL_botAPI.tl...
DataCenter:     	Connecting to DC 2 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.167.51...
DataCenter:     	OK!
AuthKeyHandler: 	Generating permanent authorization key for DC 2...
AuthKeyHandler: 	Requesting pq...
ResponseHandler: 	Trying to assign a response of type ResPQ to its request...
ResponseHandler: 	Does the request of return type ResPQ match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Factorization 1580892638177446639 = 1026196243 * 1540536373
RSA:            	Encrypting with rsa key...
AuthKeyHandler: 	Starting Diffie Hellman key exchange
ResponseHandler: 	Trying to assign a response of type Server_DH_Params to its request...
ResponseHandler: 	Does the request of return type Server_DH_Params match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Server-client time delta = 0.0 s
AuthKeyHandler: 	Executing p/g checks (1/2)...
AuthKeyHandler: 	Executing p/g checks (2/2)...
AuthKeyHandler: 	Executing g check...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Generating b...
AuthKeyHandler: 	Generating g_b...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Executing g_b check...
AuthKeyHandler: 	Preparing client_DH_inner_data...
AuthKeyHandler: 	Executing set_client_DH_params...
ResponseHandler: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Generating authorization key...
AuthKeyHandler: 	Diffie Hellman key exchange processed successfully!
AuthKeyHandler: 	Auth key generated
AuthKeyHandler: 	Generating temporary authorization key for DC 2...
AuthKeyHandler: 	Requesting pq...
ResponseHandler: 	Trying to assign a response of type ResPQ to its request...
ResponseHandler: 	Does the request of return type ResPQ match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Factorization 2660744690443717781 = 1396712501 * 1905005281
RSA:            	Encrypting with rsa key...
AuthKeyHandler: 	Starting Diffie Hellman key exchange
ResponseHandler: 	Trying to assign a response of type Server_DH_Params to its request...
ResponseHandler: 	Does the request of return type Server_DH_Params match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Server-client time delta = 0.0 s
AuthKeyHandler: 	Executing p/g checks (1/2)...
AuthKeyHandler: 	Executing p/g checks (2/2)...
AuthKeyHandler: 	Executing g check...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Generating b...
AuthKeyHandler: 	Generating g_b...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Executing g_b check...
AuthKeyHandler: 	Preparing client_DH_inner_data...
AuthKeyHandler: 	Executing set_client_DH_params...
ResponseHandler: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Generating authorization key...
AuthKeyHandler: 	Diffie Hellman key exchange processed successfully!
AuthKeyHandler: 	Auth key generated
AuthKeyHandler: 	Binding authorization keys...
CallHandler:    	Writing client info (also executing auth.bindTempAuthKey)...
MsgIdHandler:   	WARNING: Given message id (6604102775959539713) is bigger than or equal to the current limit (6604102775959489537). Consider syncing your date.
AuthKeyHandler: 	Successfully binded temporary and permanent authorization keys, DC 2
CallHandler:    	Writing client info (also executing help.getConfig)...
MTProto:        	Got new DC options, reconnecting
DataCenter:     	Disconnecting from DC 2...
DataCenter:     	Connecting to DC 2 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.167.51...
DataCenter:     	OK!
DataCenter:     	Connecting to DC 1 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.175.50...
DataCenter:     	OK!
DataCenter:     	Connecting to DC 3 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.175.100...
DataCenter:     	OK!
DataCenter:     	Connecting to DC 4 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.167.91...
DataCenter:     	OK!
DataCenter:     	Connecting to DC 4_media (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 149.154.166.120...
DataCenter:     	OK!
DataCenter:     	Connecting to DC 5 (main server, ipv4, tcp_abridged)...
DataCenter:     	Trying connection on port 443 of 91.108.56.177...
DataCenter:     	OK!
AuthKeyHandler: 	Generating permanent authorization key for DC 1...
AuthKeyHandler: 	Requesting pq...
ResponseHandler: 	Trying to assign a response of type ResPQ to its request...
ResponseHandler: 	Does the request of return type ResPQ match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Factorization 1755511825326231521 = 1228870759 * 1428556919
RSA:            	Encrypting with rsa key...
AuthKeyHandler: 	Starting Diffie Hellman key exchange
ResponseHandler: 	Trying to assign a response of type Server_DH_Params to its request...
ResponseHandler: 	Does the request of return type Server_DH_Params match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Server-client time delta = -1.0 s
AuthKeyHandler: 	Executing p/g checks (1/2)...
AuthKeyHandler: 	Executing p/g checks (2/2)...
AuthKeyHandler: 	Executing g check...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Generating b...
AuthKeyHandler: 	Generating g_b...
AuthKeyHandler: 	Executing g_a check (1/2)...
AuthKeyHandler: 	Executing g_a check (2/2)...
AuthKeyHandler: 	Executing g_b check...
AuthKeyHandler: 	Preparing client_DH_inner_data...
AuthKeyHandler: 	Executing set_client_DH_params...
ResponseHandler: 	Trying to assign a response of type Set_client_DH_params_answer to its request...
ResponseHandler: 	Does the request of return type Set_client_DH_params_answer match?
ResponseHandler: 	Yes
AuthKeyHandler: 	Generating authorization key...
